,time,open,high,low,close,date,symbol,rsi,candle_color,next_candle_color,next_candle_close,next_candle_open,pattern,next_candle_high,next_candle_low,candle_diff_pct
270,51300,18298.35,18311.85,18292.1,18307.35,220117,NIFTY,52.14,Green,Red,18301.5,18307.5,,18321.05,18293.45,0.266
271,52200,18307.5,18321.05,18293.45,18301.5,220117,NIFTY,50.54,Red,Green,18306.9,18301.35,,18316.6,18295.45,0.132
272,53100,18301.35,18316.6,18295.45,18306.9,220117,NIFTY,55.37,Green,Red,18305.65,18306.65,,18315.6,18295.55,0.158
273,54000,18306.65,18315.6,18295.55,18305.65,220117,NIFTY,55.41,Red,Green,18309.7,18304.15,,18314.8,18301.7,0.151
274,54900,18304.15,18314.8,18301.7,18309.7,220117,NIFTY,50.95,Green,Green,18342.45,18337.2,,18350.6,18323.0,0.116
275,33300,18337.2,18350.6,18323.0,18342.45,220118,NIFTY,66.25,Green,Red,18256.95,18342.95,Bullish Engulfing,18342.95,18247.35,0.11
276,34200,18342.95,18342.95,18247.35,18256.95,220118,NIFTY,41.32,Red,Red,18218.9,18256.35,,18288.95,18218.35,0.267
277,35100,18256.35,18288.95,18218.35,18218.9,220118,NIFTY,35.36,Red,Green,18237.95,18218.2,Bearish Engulfing,18248.25,18205.8,0.566
278,36000,18218.2,18248.25,18205.8,18237.95,220118,NIFTY,41.1,Green,Red,18233.65,18236.1,,18236.1,18186.75,0.684
279,36900,18236.1,18236.1,18186.75,18233.65,220118,NIFTY,38.67,Red,Green,18233.85,18232.65,,18242.0,18221.0,0.457
280,37800,18232.65,18242.0,18221.0,18233.85,220118,NIFTY,38.67,Green,Green,18239.15,18234.05,,18244.0,18222.0,0.338
281,38700,18234.05,18244.0,18222.0,18239.15,220118,NIFTY,44.39,Green,Red,18235.65,18238.75,,18242.3,18222.05,0.304
282,39600,18238.75,18242.3,18222.05,18235.65,220118,NIFTY,34.84,Red,Green,18254.85,18235.7,,18256.0,18234.7,0.126
283,40500,18235.7,18256.0,18234.7,18254.85,220118,NIFTY,40.77,Green,Green,18260.5,18255.25,,18268.7,18249.4,0.121
284,41400,18255.25,18268.7,18249.4,18260.5,220118,NIFTY,39.82,Green,Red,18257.25,18259.65,,18261.55,18247.05,0.186
285,42300,18259.65,18261.55,18247.05,18257.25,220118,NIFTY,40.27,Red,Red,18255.8,18256.4,,18263.35,18251.75,0.186
286,43200,18256.4,18263.35,18251.75,18255.8,220118,NIFTY,38.57,Red,Green,18261.4,18255.8,,18271.65,18255.8,0.119
287,44100,18255.8,18271.65,18255.8,18261.4,220118,NIFTY,40.29,Green,Green,18264.3,18260.95,,18269.85,18254.8,0.089
288,45000,18260.95,18269.85,18254.8,18264.3,220118,NIFTY,39.99,Green,Green,18285.05,18264.7,Bullish Engulfing,18286.05,18260.15,0.109
289,45900,18264.7,18286.05,18260.15,18285.05,220118,NIFTY,36.63,Green,Green,18310.7,18284.75,,18317.85,18275.5,0.092
290,46800,18284.75,18317.85,18275.5,18310.7,220118,NIFTY,67.36,Green,Red,18300.3,18310.25,,18318.05,18293.6,0.171
291,47700,18310.25,18318.05,18293.6,18300.3,220118,NIFTY,82.0,Red,Red,18277.5,18300.35,,18316.2,18276.6,0.316
292,48600,18300.35,18316.2,18276.6,18277.5,220118,NIFTY,65.1,Red,Red,18262.25,18278.45,,18278.8,18257.95,0.233
293,49500,18278.45,18278.8,18257.95,18262.25,220118,NIFTY,60.08,Red,Green,18280.65,18261.15,,18285.9,18246.15,0.227
294,50400,18261.15,18285.9,18246.15,18280.65,220118,NIFTY,64.62,Green,Red,18245.7,18280.75,,18282.2,18239.65,0.319
295,51300,18280.75,18282.2,18239.65,18245.7,220118,NIFTY,51.73,Red,Red,18214.55,18245.7,Bullish Engulfing,18250.6,18196.15,0.218
296,52200,18245.7,18250.6,18196.15,18214.55,220118,NIFTY,45.15,Red,Red,18132.35,18212.4,Bearish Engulfing,18212.4,18125.65,0.254
297,53100,18212.4,18212.4,18125.65,18132.35,220118,NIFTY,28.16,Red,Red,18097.6,18134.15,,18143.15,18088.6,0.473
298,54000,18134.15,18143.15,18088.6,18097.6,220118,NIFTY,23.68,Red,Green,18113.8,18096.55,,18133.7,18087.45,0.689
299,54900,18096.55,18133.7,18087.45,18113.8,220118,NIFTY,27.76,Green,Red,18079.55,18129.2,,18129.2,18025.3,0.684
300,33300,18129.2,18129.2,18025.3,18079.55,220119,NIFTY,25.19,Red,Red,17964.6,18079.25,,18088.15,17950.75,0.308
301,34200,18079.25,18088.15,17950.75,17964.6,220119,NIFTY,18.06,Red,Green,18048.45,17964.85,Bearish Engulfing,18048.45,17961.3,0.601
302,35100,17964.85,18048.45,17961.3,18048.45,220119,NIFTY,30.22,Green,Red,18038.1,18048.5,,18054.9,18021.5,0.994
303,36000,18048.5,18054.9,18021.5,18038.1,220119,NIFTY,26.93,Red,Red,18003.55,18038.7,,18065.2,17989.15,0.765
304,36900,18038.7,18065.2,17989.15,18003.55,220119,NIFTY,21.77,Red,Green,18020.95,18003.75,,18029.0,17999.7,0.521
305,37800,18003.75,18029.0,17999.7,18020.95,220119,NIFTY,24.65,Green,Red,17977.05,18021.2,,18028.9,17976.1,0.423
306,38700,18021.2,18028.9,17976.1,17977.05,220119,NIFTY,23.74,Red,Red,17977.35,17977.65,,17991.45,17968.05,0.423
307,39600,17977.65,17991.45,17968.05,17977.35,220119,NIFTY,24.43,Red,Red,17975.95,17976.15,Bearish Engulfing,17978.65,17942.05,0.294
308,40500,17976.15,17978.65,17942.05,17975.95,220119,NIFTY,21.8,Red,Green,17978.75,17976.0,,17991.85,17961.75,0.339
309,41400,17976.0,17991.85,17961.75,17978.75,220119,NIFTY,23.73,Green,Green,17983.8,17978.85,,17996.3,17970.05,0.275
310,42300,17978.85,17996.3,17970.05,17983.8,220119,NIFTY,26.06,Green,Red,17959.9,17983.85,,17996.85,17959.15,0.278
