,time,date,symbol,open,high,low,close
27399,34740,220421,BANKNIFTY,36539.5,36555.25,36538.95,36540.25
27400,34800,220421,BANKNIFTY,36541.95,36547.1,36525.65,36540.2
27401,34860,220421,BANKNIFTY,36538.0,36542.15,36520.4,36528.2
27402,34920,220421,BANKNIFTY,36531.75,36550.7,36530.35,36546.1
27403,34980,220421,BANKNIFTY,36547.0,36550.35,36539.25,36547.2
27404,35040,220421,BANKNIFTY,36546.6,36549.65,36540.4,36540.4
27405,35100,220421,BANKNIFTY,36543.05,36569.3,36541.85,36566.05
27406,35160,220421,BANKNIFTY,36564.9,36582.35,36549.2,36555.95
27407,35220,220421,BANKNIFTY,36549.75,36556.85,36544.25,36552.35
27408,35280,220421,BANKNIFTY,36553.7,36558.85,36547.4,36548.45
27409,35340,220421,BANKNIFTY,36551.35,36552.2,36541.3,36545.1
27410,35400,220421,BANKNIFTY,36547.0,36561.4,36522.45,36557.65
27411,35460,220421,BANKNIFTY,36557.7,36557.75,36519.8,36519.8
27412,35520,220421,BANKNIFTY,36525.1,36525.1,36458.05,36501.3
27413,35580,220421,BANKNIFTY,36503.6,36503.6,36481.7,36487.35
27414,35640,220421,BANKNIFTY,36488.75,36504.65,36477.4,36502.5
27415,35700,220421,BANKNIFTY,36503.65,36517.75,36497.55,36508.75
27416,35760,220421,BANKNIFTY,36511.6,36511.6,36495.3,36503.75
27417,35820,220421,BANKNIFTY,36503.15,36522.85,36503.15,36516.85
27418,35880,220421,BANKNIFTY,36515.95,36515.95,36501.35,36512.75
27419,35940,220421,BANKNIFTY,36509.2,36512.95,36498.8,36503.9
27420,36000,220421,BANKNIFTY,36503.05,36506.2,36495.6,36501.35
27421,36060,220421,BANKNIFTY,36501.65,36504.5,36486.95,36491.75
27422,36120,220421,BANKNIFTY,36490.7,36492.85,36482.5,36483.65
27423,36180,220421,BANKNIFTY,36483.95,36487.0,36463.35,36465.2
27424,36240,220421,BANKNIFTY,36466.3,36484.45,36460.95,36483.5
27425,36300,220421,BANKNIFTY,36485.0,36497.3,36478.1,36496.7
27426,36360,220421,BANKNIFTY,36493.05,36496.9,36480.6,36486.5
27427,36420,220421,BANKNIFTY,36484.95,36488.05,36467.3,36476.7
27428,36480,220421,BANKNIFTY,36473.8,36482.3,36468.2,36472.7
27429,36540,220421,BANKNIFTY,36471.95,36478.2,36470.6,36472.0
27430,36600,220421,BANKNIFTY,36474.9,36477.25,36463.95,36472.4
27431,36660,220421,BANKNIFTY,36475.2,36477.8,36464.0,36477.8
27432,36720,220421,BANKNIFTY,36475.2,36477.35,36464.05,36469.05
27433,36780,220421,BANKNIFTY,36473.05,36492.2,36471.5,36478.75
27434,36840,220421,BANKNIFTY,36477.9,36488.7,36466.9,36469.1
27435,36900,220421,BANKNIFTY,36468.35,36480.55,36461.55,36479.4
27436,36960,220421,BANKNIFTY,36480.35,36491.2,36473.3,36477.15
27437,37020,220421,BANKNIFTY,36476.45,36476.9,36467.85,36470.25
27438,37080,220421,BANKNIFTY,36471.45,36475.2,36460.8,36468.5
27439,37140,220421,BANKNIFTY,36471.15,36473.6,36458.05,36466.7
27440,37200,220421,BANKNIFTY,36466.6,36478.0,36461.0,36475.85
27441,37260,220421,BANKNIFTY,36476.45,36487.35,36472.25,36482.35
27442,37320,220421,BANKNIFTY,36481.05,36485.6,36476.65,36484.5
27443,37380,220421,BANKNIFTY,36484.65,36484.65,36468.8,36472.15
27444,37440,220421,BANKNIFTY,36474.45,36474.75,36423.55,36423.9
27445,37500,220421,BANKNIFTY,36418.7,36432.45,36408.3,36429.95
27446,37560,220421,BANKNIFTY,36429.55,36430.6,36407.6,36419.7
27447,37620,220421,BANKNIFTY,36414.65,36419.35,36410.85,36414.55
27448,37680,220421,BANKNIFTY,36418.2,36424.85,36410.85,36421.05
27449,37740,220421,BANKNIFTY,36419.75,36419.75,36398.85,36416.0
27450,37800,220421,BANKNIFTY,36412.85,36422.7,36407.25,36420.25
27451,37860,220421,BANKNIFTY,36419.05,36446.6,36419.05,36444.2
27452,37920,220421,BANKNIFTY,36443.3,36466.0,36442.55,36463.15
27453,37980,220421,BANKNIFTY,36463.55,36480.95,36462.8,36468.45
27454,38040,220421,BANKNIFTY,36469.6,36473.45,36459.3,36462.35
27455,38100,220421,BANKNIFTY,36464.75,36485.3,36461.1,36485.3
27456,38160,220421,BANKNIFTY,36485.5,36510.3,36484.5,36503.85
27457,38220,220421,BANKNIFTY,36503.8,36521.0,36490.45,36490.45
27458,38280,220421,BANKNIFTY,36491.85,36498.9,36488.0,36490.6
27459,38340,220421,BANKNIFTY,36490.45,36496.0,36485.55,36492.0
27460,38400,220421,BANKNIFTY,36492.6,36494.7,36487.75,36490.25
27461,38460,220421,BANKNIFTY,36488.05,36492.35,36484.35,36491.25
27462,38520,220421,BANKNIFTY,36491.5,36498.75,36483.75,36498.55
27463,38580,220421,BANKNIFTY,36501.3,36508.25,36495.2,36504.65
27464,38640,220421,BANKNIFTY,36505.9,36510.35,36500.55,36506.1
27465,38700,220421,BANKNIFTY,36506.4,36512.9,36502.6,36509.0
27466,38760,220421,BANKNIFTY,36507.8,36519.8,36504.5,36513.6
27467,38820,220421,BANKNIFTY,36515.7,36517.7,36510.75,36514.8
27468,38880,220421,BANKNIFTY,36515.45,36517.0,36508.4,36512.9
27469,38940,220421,BANKNIFTY,36514.5,36514.5,36502.3,36502.3
27470,39000,220421,BANKNIFTY,36501.65,36506.25,36487.25,36495.35
27471,39060,220421,BANKNIFTY,36493.6,36494.65,36489.4,36493.55
27472,39120,220421,BANKNIFTY,36491.1,36496.35,36480.65,36492.2
27473,39180,220421,BANKNIFTY,36495.15,36513.9,36489.3,36509.75
27474,39240,220421,BANKNIFTY,36509.6,36517.75,36498.95,36517.75
27475,39300,220421,BANKNIFTY,36517.55,36521.65,36513.0,36520.5
27476,39360,220421,BANKNIFTY,36520.15,36526.85,36516.45,36522.05
27477,39420,220421,BANKNIFTY,36523.2,36524.6,36515.8,36518.6
27478,39480,220421,BANKNIFTY,36518.4,36520.3,36512.95,36519.05
27479,39540,220421,BANKNIFTY,36523.4,36555.15,36519.6,36539.15
27480,39600,220421,BANKNIFTY,36538.4,36545.8,36531.9,36537.75
27481,39660,220421,BANKNIFTY,36538.0,36549.05,36535.45,36544.9
27482,39720,220421,BANKNIFTY,36547.4,36551.05,36540.05,36546.45
27483,39780,220421,BANKNIFTY,36546.05,36553.55,36541.0,36543.9
27484,39840,220421,BANKNIFTY,36543.6,36551.3,36534.2,36551.3
27485,39900,220421,BANKNIFTY,36549.85,36565.3,36545.3,36565.3
27486,39960,220421,BANKNIFTY,36565.3,36569.6,36557.7,36559.65
27487,40020,220421,BANKNIFTY,36559.85,36567.5,36550.35,36567.25
27488,40080,220421,BANKNIFTY,36566.05,36577.3,36562.05,36577.2
27489,40140,220421,BANKNIFTY,36576.75,36593.3,36574.95,36587.45
27490,40200,220421,BANKNIFTY,36591.05,36596.85,36585.15,36589.95
27491,40260,220421,BANKNIFTY,36589.45,36591.85,36581.4,36590.4
27492,40320,220421,BANKNIFTY,36591.35,36591.35,36562.35,36572.05
27493,40380,220421,BANKNIFTY,36574.85,36577.1,36565.3,36575.65
27494,40440,220421,BANKNIFTY,36574.55,36608.55,36573.5,36605.5
27495,40500,220421,BANKNIFTY,36605.2,36610.1,36587.75,36587.9
27496,40560,220421,BANKNIFTY,36584.5,36592.95,36569.65,36592.95
27497,40620,220421,BANKNIFTY,36593.1,36616.35,36591.35,36597.2
27498,40680,220421,BANKNIFTY,36597.0,36597.9,36576.4,36576.4
27499,40740,220421,BANKNIFTY,36578.65,36585.6,36573.0,36582.35
27500,40800,220421,BANKNIFTY,36582.15,36584.95,36575.85,36584.95
27501,40860,220421,BANKNIFTY,36585.65,36589.45,36576.35,36576.55
27502,40920,220421,BANKNIFTY,36579.25,36593.0,36569.2,36590.0
27503,40980,220421,BANKNIFTY,36588.2,36595.2,36584.55,36586.9
27504,41040,220421,BANKNIFTY,36587.95,36623.85,36587.4,36621.85
27505,41100,220421,BANKNIFTY,36622.85,36642.95,36618.2,36635.5
27506,41160,220421,BANKNIFTY,36634.7,36639.6,36629.5,36634.3
27507,41220,220421,BANKNIFTY,36631.85,36632.0,36609.4,36609.75
27508,41280,220421,BANKNIFTY,36611.3,36627.25,36609.45,36620.85
27509,41340,220421,BANKNIFTY,36623.45,36626.9,36619.3,36624.65
27510,41400,220421,BANKNIFTY,36624.65,36625.8,36596.95,36596.95
27511,41460,220421,BANKNIFTY,36599.0,36609.15,36592.45,36600.15
27512,41520,220421,BANKNIFTY,36599.15,36610.2,36598.1,36606.65
27513,41580,220421,BANKNIFTY,36606.25,36632.3,36605.35,36626.15
27514,41640,220421,BANKNIFTY,36626.15,36631.0,36599.9,36603.85
27515,41700,220421,BANKNIFTY,36604.05,36616.7,36599.3,36605.85
27516,41760,220421,BANKNIFTY,36603.45,36604.5,36589.7,36593.75
27517,41820,220421,BANKNIFTY,36594.35,36599.25,36579.6,36589.75
27518,41880,220421,BANKNIFTY,36589.4,36592.25,36581.8,36585.95
27519,41940,220421,BANKNIFTY,36585.05,36591.9,36583.5,36589.45
27520,42000,220421,BANKNIFTY,36590.1,36608.0,36581.7,36596.85
27521,42060,220421,BANKNIFTY,36595.0,36603.4,36589.5,36594.4
27522,42120,220421,BANKNIFTY,36595.2,36600.5,36591.55,36596.1
27523,42180,220421,BANKNIFTY,36594.85,36597.8,36585.7,36587.2
27524,42240,220421,BANKNIFTY,36588.35,36593.2,36586.0,36590.05
27525,42300,220421,BANKNIFTY,36589.95,36596.15,36570.65,36570.65
27526,42360,220421,BANKNIFTY,36570.05,36580.4,36561.8,36575.25
27527,42420,220421,BANKNIFTY,36573.35,36577.25,36562.9,36564.0
27528,42480,220421,BANKNIFTY,36563.0,36566.75,36542.2,36548.35
27529,42540,220421,BANKNIFTY,36550.65,36593.2,36550.65,36581.65
27530,42600,220421,BANKNIFTY,36581.25,36603.85,36581.15,36600.3
27531,42660,220421,BANKNIFTY,36603.75,36605.9,36595.05,36598.4
27532,42720,220421,BANKNIFTY,36598.9,36604.1,36583.8,36585.5
27533,42780,220421,BANKNIFTY,36589.0,36592.1,36584.6,36589.9
27534,42840,220421,BANKNIFTY,36588.85,36593.55,36581.75,36581.75
27535,42900,220421,BANKNIFTY,36581.9,36595.95,36581.9,36592.1
27536,42960,220421,BANKNIFTY,36592.1,36598.8,36589.85,36595.95
27537,43020,220421,BANKNIFTY,36595.05,36606.65,36592.65,36605.55
27538,43080,220421,BANKNIFTY,36600.7,36611.7,36600.7,36610.05
27539,43140,220421,BANKNIFTY,36610.95,36613.55,36604.05,36611.8
27540,43200,220421,BANKNIFTY,36609.6,36621.05,36609.6,36618.75
27541,43260,220421,BANKNIFTY,36615.95,36621.15,36611.05,36615.95
27542,43320,220421,BANKNIFTY,36619.85,36620.4,36611.55,36620.4
27543,43380,220421,BANKNIFTY,36621.05,36642.5,36620.0,36634.2
27544,43440,220421,BANKNIFTY,36632.7,36638.6,36601.35,36601.35
27545,43500,220421,BANKNIFTY,36596.75,36601.75,36582.85,36596.05
27546,43560,220421,BANKNIFTY,36594.6,36594.6,36571.25,36578.5
27547,43620,220421,BANKNIFTY,36579.35,36585.15,36573.25,36577.45
27548,43680,220421,BANKNIFTY,36574.9,36594.55,36574.25,36593.65
27549,43740,220421,BANKNIFTY,36596.5,36606.65,36594.45,36601.75
27550,43800,220421,BANKNIFTY,36601.35,36605.55,36597.1,36600.7
27551,43860,220421,BANKNIFTY,36600.75,36601.55,36589.8,36594.35
27552,43920,220421,BANKNIFTY,36594.05,36600.95,36591.95,36592.7
27553,43980,220421,BANKNIFTY,36593.05,36596.65,36588.4,36592.45
27554,44040,220421,BANKNIFTY,36592.5,36604.05,36589.6,36602.85
27555,44100,220421,BANKNIFTY,36603.05,36605.75,36599.9,36602.3
27556,44160,220421,BANKNIFTY,36602.0,36603.55,36596.35,36602.75
27557,44220,220421,BANKNIFTY,36600.25,36601.6,36591.8,36597.9
27558,44280,220421,BANKNIFTY,36594.85,36598.8,36583.9,36585.25
27559,44340,220421,BANKNIFTY,36582.75,36584.55,36572.15,36576.5
27560,44400,220421,BANKNIFTY,36574.1,36591.5,36573.8,36584.05
27561,44460,220421,BANKNIFTY,36586.95,36593.4,36574.15,36581.55
27562,44520,220421,BANKNIFTY,36578.15,36583.1,36574.15,36579.6
